"name","review","grade"
"루비떡볶이",4,4.5
"담소사골순대",5,4
"닭으로가",3,4.5
"무월식탁",4,4
"비스트로 봉",4,4.5
"라드레쎄",2,5
"이삭토스트",2,5
"영동갈비살",2,5
"아실라",3,4.5
"폴바셋",4,4
"셰레타이",3,4.5
"빅락",3,4
"체스터치킨",2,5
"셰막",3,4.5
"빌리엔젤케익컴퍼니",3,4.5
"맛있는돈까스",3,4.5
"금강수림",3,4.5
"일치프리아니",3,4.5
"SOVS",5,4
"김밥천국",4,4
"포차팩토리",3,4.5
"78온더라이즈",3,5
"종로김밥",2,5
"나마스테 청담점",7,4
"명가뼈다귀감자탕",2,5
"김밥천국",3,4.5
"오설록",5,4
"박고볼래",2,5
"신의주찹쌀순대",11,3.5
"가담",3,4.5
"둘둘치킨 삼성역점",7,3.5
"순두부마을",4,4.5
"진성식당",2,5
"청담",4,4.5
"스무디킹",4,4
"페어링6",5,4
"라뜰리에",6,3.5
"버거킹 선릉점",7,3.5
"홍짜장",3,4.5
"네네치킨",3,4.5
"하늘정원",3,4.5
"료기",2,5
"홍대돈부리",4,4.5
"강남면옥",3,4.5
"두사라",3,4.5
"새마을식당",3,4.5
"샤브쌈주머니",3,4.5
"갓잇",3,4.5
"안동찜닭&해물떡찜",3,4.5
"들었나놨다참숯불닭갈비",3,4.5
"폴바셋",4,4
"코코이찌방야",3,4.5
"뚝배기 황태 칼국수",3,5
"빕스 강남역점",16,3.5
"용삼계탕",2,5
"교센",3,4.5
"버터핑거팬케익스",5,4
"오징어청춘",4,4.5
"동대문닭한마리",2,5
"배덕현함흥냉면",2,5
"커핀그루나루",6,4
"루소랩",3,4.5
"BHC치킨",2,5
"아티제",3,4.5
"조스샌드위치",3,4.5
"맛뜸뼈다귀해장국",4,4
"글래드 라이브 아트마켓",7,3.5
"퀸스파크",3,4.5
"물고기자리",2,5
"맥도날드",4,4.5
"더 스프링 탭 하우스",3,4.5
"비블레스",3,5
"투썸플레이스",4,4
"희래등",3,4.5
"보나세라",9,3.5
"세시세라",2,5
"러브인토스터",3,5
"전나라쭈꾸미",4,4
"완산골명가 압구정2호점",11,4.5
"설빙",4,4.5
"미아전",2,4.5
"정가네손칼국수",3,4.5
"스위치 플래닛",3,4.5
"김수사",12,3.5
"슈만드젠",2,5
"옥토버훼스트",3,4.5
"밥짓는집",2,5
"나주곰탕",3,4.5
"배나무골",3,4.5
"티라운드",4,4.5
"수불삼성",2,5
"알로하테이블",25,3.5
"잠바주스",4,4
"깐부치킨",4,4
"공차",2,5
"종로빈대떡",2,5
"스토리오브와인",3,4.5
"바이트투헤븐",3,4.5
"삐아프 아티산 쇼콜라티에",2,5
"화동플레이스",2,5
"한남북엇국 - 청담점",3,4.5
"삼백집",5,4
"토담골",3,4.5
"신의주찹쌀순대",4,4
"H450",2,5
"무너섬",3,4.5
"데블스도어 코엑스몰점",10,3.5
"오양절면",2,5
"핑크솔740",3,4.5
"삼다연",4,4.5
"더블린테라스",2,5
"아리스타",3,4.5
"스시효",2,4.5
"빌라드스파이시",4,4
"마조앤새디",3,4.5
"에이미초코",3,4.5
"퀴즈노스",7,3.5
"사리원",4,4.5
"낙지골",4,4.5
"심슨탕",4,4.5
"돈정돈까스",3,4.5
"쉐플로",3,4.5
"버거킹",4,4
"가양양꼬치",2,5
"블루밍가든",5,4
"신미식당",2,5
"미스터시래기",2,5
"그릴밥상",4,4
"한우리한정식",2,5
"복다다미",2,5
"옐로우스푼",3,4.5
"오징어풍경",3,4.5
"제이엘푸드부산아지매국밥차병원사거리점",3,4.5
"솥뚜껑삼겹살집",2,5
"잔치",2,5
"교촌치킨",2,5
"오또상스시",2,4.5
"만나분식",5,4
"캐빈",4,4.5
"마포만두",3,4.5
"본죽",2,4.5
"서울고로케",2,4.5
"서브웨이",2,4.5
"우돈생고기",2,4.5
"씨블루",2,4.5
"화이트바",2,5
"별곱창이야기",2,4.5
"벌교한상",4,4
"독도참치",3,4.5
"날으는돈까스",3,4
"심퍼티쿠시 라스트피스 - 역삼점",2,4.5
"라이라이",3,4
"아웃백스테이크하우스 도곡점",2,4.5
"뚜또베네",2,5
"장수양곱창",2,4.5
"청담이상",2,4.5
"베이커스필드",3,4.5
"베이커스필드",3,4.5
"수서동샤브샤브",3,4.5
"오징어청춘 선릉직영점",4,4
"포호아",2,4.5
"조선면옥",3,4
"가로비",1,5
"써스티몽크",4,4
"하남돼지집 - 양재역점",2,4.5
"생어거스틴",6,3.5
"돼지연구소",4,4
"뚜레쥬르",4,4
"동보성",2,4.5
"커피빈",3,4
"밴드오브브루워스",3,4.5
"왕십리야채곱창",2,5
"포즈키친",5,3.5
"삼백집",4,4
"양촌리",6,3.5
"소브스위드살몬",2,5
"정고기",3,4.5
"쪼가리포차",2,5
"큰물참치",3,4.5
"인간중심",2,5
"란수사",3,4.5
"스터번",3,4
"뚝배기황태칼국수",2,4.5
"LA북창동순두부",3,4.5
"한스",2,4.5
"깐부치킨",3,4.5
"핫썬치킨",2,4.5
"고냉지김치찌개김치삼겹살",2,4.5
"파스텔드나따",2,4.5
"한옥집김치찜 - 논현점",3,4
"전주콩뿌리콩나물국밥",3,4.5
"카페피노사",2,5
"원스인어블루문",3,4.5
"바보네집",2,4.5
"GINY",2,5
"스트릿츄러스",3,4.5
"강릉집",2,5
"투썸플레이스",2,4.5
"커피빈",2,4.5
"대장금",2,5
"국수나무",3,4
"노랑통닭",5,3.5
"파리바게뜨",2,4.5
"투뿔등심",2,4.5
"히까리",4,4
"탐앤탐스",2,5
"ALICEBAR",3,4
"본죽",4,4
"그랑아",2,5
"기다스시",3,4.5
"후꾸짱",2,5
"취영루",4,4
"포 베이 압구정 본점",12,3.5
"더비스트로",2,5
"압구정고로케",2,5
"라토크",2,4.5
"이디야커피",3,4
"토크 서비스",3,5
"루이쌍끄",2,5
"교토일식",2,5
"스시몬",2,5
"담담",3,4.5
"홍가네해물떡찜",2,5
"세븐스프링스",3,4.5
"대게나라",3,4
"백암왕순대순대국",2,4.5
"노산마백숙",2,5
"파리바게뜨",2,4.5
"김이박부대찌개",2,4.5
"본죽",3,4
"투썸플레이스",5,3.5
"엔제리너스 커피 신논현역점",13,3.5
"소프트리",2,4.5
"705스시앤사시미",3,4.5
"커피빈",2,4.5
"크리스피크림도넛",2,4.5
"김가네김밥",2,4.5
"꼴라메르까토",3,4.5
"전통백암순대국",2,4.5
"버거킹 청담점",3,4
"BBQ치킨",2,4.5
"하남돼지집",2,4.5
"광양불고기",2,4.5
"우노",2,4.5
"와후진",2,4.5
"프랑스에다녀온붕어빵",2,5
"선릉김밥",4,4
"키즈앤맘",2,4.5
"기꾸스시",3,4
"생태사랑",2,4.5
"닭한마리",3,4.5
"테이블스타",9,3.5
"록키마운틴초콜릿팩토리",4,4
"아브라카다브라",2,4.5
"주지육림",2,4.5
"포베이",2,4.5
"개화옥 가로수길점",10,3.5
"계절미각",2,5
"가야",2,4.5
"오뗄두스",3,4.5
"모던밥상",3,4.5
"네모오징어",3,4
"보쌈마을",2,4.5
"예향",3,4
"별양집",2,4.5
"파리바게뜨",2,4.5
"보름달",2,5
"크림팝",3,4
"귀신반점",3,4
"맥도날드",2,4.5
"포메인",3,4
"리틀사이공",2,4.5
"오륙도",2,5
"해찬솔",2,5
"미쓰양꼬치",2,4.5
"TWGTEASALON",3,4.5
"라운드",3,4
"라운드",3,4
"베키아에누보",3,4.5
"명동할머니국수",2,4.5
"커피빈",2,4.5
"마구로젠",2,4.5
"호면당",3,4
"하나샤브정",2,4.5
"가장맛있는족발",2,4.5
"예림",2,4.5
"요시노베란다",3,4.5
"곰스603",2,4.5
"어부5가",3,4.5
"한국교자",2,4.5
"고향집",3,4
"에이림",2,5
"바우골",2,4.5
"남대문황금족발",2,4.5
"크로와상타이야끼",2,5
"교토가츠규 - 삼성오크우드점",2,4.5
"스시산원",2,5
"버거킹",4,4
"먼데이투선데이",2,4.5
"새로나호프",2,4.5
"채선당",4,4
"삼정하누",3,4.5
"ㅍㅣㄱㅡ닉",3,4.5
"워커힐비자비뷔페",2,5
"뚜레쥬르",2,4.5
"돈수백",5,4
"신요가",3,4
"생태명가",2,5
"버거킹",2,4.5
"와세다야",2,4.5
"한솥도시락",2,4.5
"공수간",3,4
"봉평면 메밀촌",2,5
"카페베네 압구정갤러리아점",5,4
"새우의진수",3,4
"무라사키",2,4.5
"오젠",2,4.5
"에이미초콜릿",3,4
"루다파파스",2,4.5
"이조명과",3,4.5
"더부스",4,4
"버거킹",3,4
"설빙",6,3.5
"카페베네 압구정로데오점",3,4
"휘모리",5,4
"라노떼",2,5
"하겐다즈",2,4.5
"코코브루니",3,4
"전주콩나물국밥",3,4
"디자인 카페",3,4
"타코칠리칠리",5,4
"브레쉬에비뉴",3,4.5
"반룡산",3,4
"몰타참치",2,4.5
"KFC",3,4
"논골집",4,4
"리강성",3,4
"마시찜",3,4
"맥도날드",4,4
"블랙페퍼574",3,4
"묵호등대",2,4.5
"배스킨라빈스31",2,4.5
"호남마을",2,4.5
"카페코발트",2,4.5
"문어랑",3,4
"이디야커피",2,4.5
"벤스쿠키",3,4
"아리랑식당",2,4.5
"먹쉬돈나",8,3.5
"채린",3,4
"베이징코야",3,4
"홍대칼국수와족발",2,4.5
"청년떡볶이",3,4
"빈스플",2,4.5
"전주비빔밥",3,4
"조스샌드위치 - 포스코사거리점",2,4.5
"지호한방삼계탕",4,5
"청담갯벌장어",2,4.5
"손큰부자집",2,4.5
"무교낙지",2,4.5
"대한극장",2,4.5
"동보성",3,4
"잰부닥",2,4.5
"그릴타이",2,4.5
"모모스테이크",5,3.5
"웰컴투조개골",4,4.5
"가츠몽",2,4.5
"화덕키친",2,4.5
"진수사",2,4.5
"숙이네조개전골",2,4.5
"제네럴반점",2,4.5
"퍼블릭하우스",3,4
"뽕신",3,4
"스킬렛STEAK",3,4
"GN 레스토랑",5,4
"맥도날드 삼성역점",16,3.5
"월정",2,5
"경성양꼬치",2,4.5
"파리바게뜨",2,4
"참치그라",2,4.5
"소공동뚝배기집",2,4.5
"마포만두 선릉직영점",3,4
"CNNCAFE",3,4
"고기고샵",4,4
"석이테이블",2,4.5
"콰이",2,4.5
"커핀그루나루",2,4.5
"비노",2,4.5
"몽크투바흐",1,5
"고메갤러리",2,4.5
"이에나파이",2,4.5
"보르드메르",2,4.5
"오쭈",2,4.5
"훌리오",3,4
"굽네치킨",3,4
"내가왕이라면",2,4.5
"서서갈비",2,4.5
"로드빌",2,4.5
"루팡",2,4.5
"새마을식당",2,4.5
"외객",2,4.5
"뮈렌",3,4
"피닉스샤브샤브",2,4.5
"쿠데타",3,4
"장마담한우",3,4
"화로사랑",2,4.5
"콩불",2,4.5
"잠바주스",2,4.5
"베키아에누보",2,4.5
"사계솔",2,4.5
"한가네",2,4.5
"우오",2,4.5
"부경정",2,4.5
"페이보리스원",3,4
"본누벨",2,4.5
"파리바게뜨",2,4.5
"쏭타이 - 역삼동",1,5
"대치골한우곱창",2,4.5
"THE374",2,4
"얌얌 식빵",2,4
"지유가오카핫초메",2,4.5
"홍콩반점0410",2,4.5
"나마스테",2,4.5
"클로리스",3,4
"희유",1,5
"한솥도시락",2,4
"봉추찜닭",2,4.5
"이자카야 켄켄",2,4.5
"만",1,5
"명동칼국수",1,5
"카페1950호텔",1,5
"마토",1,5
"지아니스나폴리",3,4
"화평칼국수",1,5
"아티제",1,5
"날라리치킨",1,5
"광양불고기본가",2,5
"소노야",2,4
"카페더스노우",1,5
"신의주찹쌀순대",1,5
"해물솥밥모랑",1,5
"명인만두",1,5
"김밥천국",1,5
"BHC치킨",1,5
"엘에이북창동순두부",1,5
"공차",2,4.5
"우리집닭강정",1,5
"화해당",2,4
"브루스리",2,4.5
"가득드림",2,4.5
"설빙",3,4
"빠나미",1,5
"가로수길 칼국수",1,5
"반가안동국시",2,4
"봉황",2,4.5
"감성돼지",2,4
"아지동",1,5
"스팀펑크",3,4
"분짜라붐 학동역",2,4
"한솥도시락",2,5
"빈체로",1,5
"서울왕돈까스",2,4
"만세고기",1,5
"자주포차",1,5
"배스킨라빈스31",1,5
"신의주찹쌀순대",1,5
"마산옥",2,4
"작은공간",2,4
"새마을식당",1,5
"타이거 레어 서울",1,5
"천미향",1,5
"시추안 하우스 - 압구정점",1,5
"센야",2,4.5
"바빌리안테이블",5,3.5
"깐간장새우",2,4.5
"서울분식",3,4
"달",2,4.5
"빈스앤베리즈",3,4
"카페플라떼",1,5
"김밥천국",1,5
"카페스토브",2,4.5
"고갯마루집",6,3.5
"수하동",1,5
"깐부치킨",2,4
"더블린",5,4
"알파갈매기살",2,4.5
"일공공키친 서래점",1,5
"압구정봉구비어",2,4.5
"놀란치킨",1,5
"유노추보스시",4,3.5
"청담골",1,5
"우마쿠라",2,4.5
"김가네김밥",2,4
"브라운핸즈",3,4
"청담동장독대김치찌개",3,4
"애프터워크 바베큐",1,5
"모단걸응접실",6,3.5
"크리스피크림도넛",4,4
"아리산",2,4
"강남소바",1,5
"매드포갈릭",2,4.5
"최가네버섯샤브매운탕칼국수",2,4.5
"엘본더테이블",5,3.5
"BHC",2,4
"이층집닭도리탕",1,5
"전봇대",1,5
"더진국",1,5
"메르시보니",2,4.5
"해무리",2,4.5
"소문난집",1,5
"깐부치킨",1,5
"버거킹 수서점",7,3.5
"삼청골명가",2,4
"올리비아",2,4.5
"개미집",2,4
"수린",2,4
"강남불백",2,4.5
"강남불백",2,4.5
"한솥도시락",2,4.5
"IQ84CHURROS",3,3.5
"와세다야에프앤비",9,3.5
"홍명",6,3.5
"강남옛날돈까스",2,4.5
"신사쭈꾸미",1,5
"커피BAY",1,5
"송탄부대찌개",2,4
"카페714",1,5
"인수사",3,4
"빕스",3,4
"하나우동",3,4
"자연별곡 - 강남역점",5,3.5
"다이닝텐트",2,4.5
"메르까도",2,4.5
"미즈호BY스시마츠모토",2,4.5
"SAIGON",3,3.5
"뱃고동",2,4
"돼지고추장불고기",2,4.5
"뻐꾸기",1,5
"밀알아트센터",2,4
"아티제",5,3.5
"옛날농장",2,4
"우대박",1,5
"카페니니스",3,4.5
"평양만두",1,5
"바스버거 역삼점",3,3.5
"할머니보쌈",1,5
"양천지",1,5
"모란단팥죽",2,4.5
"자연별곡",3,4
"청담이상",3,4
"불고기브라더스 코엑스점",2,4
"선릉가든",1,5
"더플라잉팬",5,3.5
"매드후라이치킨",2,4.5
"교촌치킨",1,5
"오리의전설",1,5
"버드나무집",2,4.5
"내당한우",1,5
"독도게찜",1,5
"나미키",1,5
"현대옥",5,3.5
"장어의전설",1,5
"장서는날",6,3.5
"오모가리김치찌개",2,4.5
"서진식당",1,5
"김가네김밥",2,4
"짚신매운갈비찜",1,5
"케익하우스윈",2,4
"잘차려진밥상",2,4
"로켓크리스피치킨 - 압구정 로데오 2호점",2,4
"제주섬애",1,5
"삼미숯불갈비",2,4
"시원한대구탕",1,5
"코코로벤또",3,4
"성가네큰집추어탕",1,5
"대파양곱창",1,5
"싸움의고수 - 대치점",1,5
"뚜레쥬르",2,4.5
"팔당닭발",2,4
"바랗",13,3.5
"깐부치킨 삼성역점",2,4.5
"사계절",1,5
"예향",1,5
"등대",3,4
"THE램",2,4
"놀부부대찌개",2,4.5
"마오",1,5
"오호리준 - 신사가로수길점",1,5
"생활맥주 - 삼성코엑스점",1,5
"미인이자카야",2,4.5
"도리원",1,5
"동수요리하다",2,4
"더부쓰삼성",1,5
"정겨운집",1,5
"구루메키친",1,5
"홍콩반점0410",3,4
"오쭈",2,4.5
"운봉닭개장",1,5
"본죽",2,4
"오발탄 역삼점",3,4
"딸부자네 불백 - 강남역 11번 출구점",1,5
"그린마일커피",1,5
"본죽 양재은광여고점",2,4.5
"와인코르크",3,4.5
"십원집",2,4.5
"이즈미",2,4
"얌타이",2,4
"라운지엘오소",1,5
"포메인",2,4.5
"공수간",12,3.5
"브라운돈까스",2,4
"LOCO8",1,5
"일미오삐아또",1,5
"카츠로우",1,5
"솔낭구",1,5
"공차",2,4
"목포명가",3,3.5
"소노야",3,4
"마구로젠",1,5
"식물학",2,4
"흑백홍",2,4
"오율",2,4.5
"킨톤라멘 - 도산공원점",1,5
"소담골",2,4.5
"본가",2,4
"돈지가",2,4
"이디야커피 - 한티역점",2,4
"셰프의국수앤육개장",2,4
"그안에맛있는이탈리안",3,3.5
"등촌칼국수",4,4
"파리바게뜨",2,4
"커피빈",3,4
"빨간오뎅",1,5
"오세안 양갈비",1,5
"태평양참치",1,5
"또봉이통닭",1,5
"유장원보쌈",1,5
"영동죽집",1,5
"커피빈",2,4
"한우촌돼지마을",1,5
"오모리찌개 청담점",2,4
"보물섬",2,4
"미스터피자",1,5
"솜리",3,4
"요리왕",1,5
"신의주부대찌개 논현점",2,4
"18 스텝스",3,4
"아야진생태찌개",3,3.5
"커피빈",2,4
"와랑와랑탑동",1,5
"송탄부대찌개",1,5
"강남설렁탕",1,5
"논현역2번출구",1,5
"경성냉면",2,4
"도미노피자",1,5
"두릉도원북촌순두부",1,5
"선릉 순대국",2,4.5
"자니로켓",2,4
"한성양갈비구이",1,5
"엔돌핀김밥 - 삼성역점",2,4
"뜨락",1,5
"봉우화로",2,4
"버거킹",4,3.5
"행운식당",3,5
"가로수길생칼국수",1,5
"규탕여가",1,5
"네모집 역삼점",2,4
"압구정설렁탕",2,4
"대박분식",1,5
"온어스틱",1,5
"Grill5",1,5
"오비야",1,5
"풍월",1,5
"제갈공명",1,5
"디엘로이",1,5
"티볼리",3,4
"무등산",3,4
"도쿄사이카보",5,3.5
"모모코",1,5
"심양",3,3.5
"베니건스  코엑점",3,4
"가마로강정",2,4
"15콜룸바",2,4
"미스터피자",3,3.5
"생어거스틴",8,3.5
"이조한아름갈비",2,4
"강꼬스시",2,4
"핀키친",2,4
"김가네김밥",1,5
"무화잠",7,3.5
"55°와인앤다인",1,5
"막썰어",2,4
"고래불",1,5
"세꼬시닷컴",2,5
"두레국수",1,5
"나인어클락 - 역삼논현로점",1,5
"파불라",1,5
"뚜레쥬르",3,3.5
"스시히로바",2,4
"한국촌",2,4
"코코브루니",3,3.5
"마린쿡",4,4
"봉파리",1,5
"아쭈",2,4
"옛날농장",2,4
"브루스케타 코엑스점",4,3.5
"라운더스 라운지",1,5
"사월에보리밥",4,3.5
"일공중식",1,5
"동대문닭한마리",1,5
"브레댄코",2,4
"청담족발",3,3.5
"루프탑 바",8,3.5
"순천회관",1,5
"모국정서",1,5
"매화양꼬치",1,5
"바네스플라워",1,5
"강변민물장어",2,4
"화로사랑",1,5
"투썸플레이스",3,3.5
"서울깍두기",2,4
"신통한갈비",1,5
"투더디프런트",2,4
"명동칼국수",2,4
"빛고을",1,5
"승달집",1,5
"네꼬맘마",1,5
"뜨리앙",2,4
"카페아지토",2,4
"모퉁이집",2,4
"22.FEB",2,4
"카페봄",1,5
"모노치즈",1,5
"비틀쥬스",1,5
"우리집",1,5
"카페네스카페",1,5
"신의주찹쌀순대",3,3.5
"완산골명가",1,5
"산야로",1,5
"더 차이홍",1,5
"양자강",2,4
"노가다",1,5
"마르코폴로",1,5
"바이킹뷔페",1,5
"뜨라또리아",1,5
"오가다",1,5
"신씨화로",1,5
"순천만",1,5
"싱싱곱창",2,4
"공차",2,4
"투다리",2,4
"놀부부대찌개",2,4
"탐탐",1,5
"만두의전설",2,4
"듬북담북북어국 선릉2호점",2,4
"불로만치킨",1,5
"히게야",2,4
"하레이자카야",1,5
"자바씨티",2,4
"김씨네",1,5
"화부돈",2,4
"한솥도시락",2,4
"아비꼬 압구정로데오점",2,4
"살롱 그란데",2,4.5
"모리향",2,4
"피오렌티나",1,5
"탐앤탐스",3,3.5
"보봐르",2,4
"할리스커피",1,5
"전주현대옥",1,5
"도미노피자",1,5
"25T",2,4
"버거킹",2,4
"골목길",1,5
"돈정돈까스",2,4
"놀부부대찌개",2,4
"산봉화로구이",2,4
"깐부치킨",1,5
"봉화전",1,5
"뽀모도로",1,5
"카페코나퀸즈",1,5
"본죽",1,5
"신의주부대찌개",1,5
"보리밀",1,5
"커피빈",1,5
"닭굼터",1,5
"빨라쪼델프레또",1,5
